Review,Rating,sentiment,review_length,polarity,label
best eye serum ever used well worth money bought january eye dry wrinkly desperately need eye serum due cold weather tried many sample expensive eye product thing worked copper peptide magic bottle lasted month highly recommend,5,positive,81,0.03694444444444445,2
helped much stubborn texture purchase life,5,positive,12,0.3125,2
honestly not like product nothing seem make breakout worse,2,negative,20,0.09999999999999998,0
okay started quarantine trying find skin routine fun realized skin allergic reaction lot thing queue forgetting sunscreen many dark spot later already looking vitamin serum found yttps let say love thick bit grainy tightenfeel skin get absorbed quickly incorporated morning warm wash moisturizer also website say pump covered whole face even using almost month barely diminished supply bonus,5,positive,113,0.23611111111111113,2
good work wonder redness away almost immediately youre consistent acne,5,positive,16,0.5625,2
one favorite balmies like good lip balm not much color one perfect hydrating touch color still look natural packaging luxe smell yummy gifted brand opinion,4,positive,55,0.5401785714285714,2
dry skin lot redness stuff amazing always looking new moisturizers far favorite antiaging soooo many good ingredient slight smell love scent also wear fantastic makeup,5,positive,50,0.3184573002754821,2
found moisturizer decent met expectation eye moisturizer scent fine not oily greasy normally bag eye effective moisturizer depuffing little bit reason gave product three star price not sure would purchase dont know exceptional eye product currently,3,neutral,92,0.15104166666666666,1
not big fan smell use lot cause make sling feel soft glowing,4,positive,24,0.05,2
product gifted sephora pretty great product goop glow morning skin superpower wonderful skin loving ingredient package come five drink packet powder mix easily water refreshing citrus flavor taste really good love product wish came drink packet,4,positive,61,0.6133333333333334,2
ugh first texture disgusting oily actually shake bottle tone not consistent dont shake smell like crayon stay face yikes,1,negative,40,-0.3203125,0
phenomenal use nightly seriously impressed texture take little getting use result make totally worth,5,positive,26,0.403125,2
cleaser lightweight job love gentle cleanser one rank high among others washing warm water left skin feeling hydrated soft glad got test product purchase run,5,positive,52,0.36765625,2
love face moisturizer complaint use moisturizer night time skin care routine super hydrating nice skin would definitely recommend,5,positive,31,0.3895833333333333,2
picky smell facial cream really enjoyed using product smell really good left skin feeling smooth would purchase product recommend friend,5,positive,37,0.32,2
combination skin experiencing dark spot ive using essence along regular moisturizer week noticed slight increase hydration skin seem brighter overall dark spot still hope see fade continued use,4,positive,54,0.005555555555555554,2
combination skin absolutely love mask even hydrating doesnt feel heavy greasy apply moisturizer nighttime routine generously leave overnight wake soft bright healthy looking skin absorbs skin leaf feeling supple like scent even use top hand worked great keeping drying cold weather absolute beauty feel luxurious definitely one recommend,5,positive,102,0.29545454545454547,2
product creamy side hasnt made breakout love use face neck put moisturizer similar smell drunk elephant one not strong highly recommend one best vitamin serum ive tried,5,positive,58,0.31243055555555554,2
product great price outrageous treat self kinda girl cant even bring smooth soak past follow moisturizer dry,4,positive,37,-0.012499999999999983,2
honestly ordinary formulation nowhere near good inkey list ive noticed noticeable difference skin softer started niacinamide use morning downside product always stock packaging feel like wasting plastic since bottle small,5,positive,60,0.12857142857142856,2
sooo wanted work used four time returned major help old white head impacted skin,2,negative,26,0.02291666666666667,0
product amazing thickness cream insane skin feel look amazing,5,positive,18,0.25000000000000006,2
full transparency gifted sulwhasoo review purpose bottle felt nice luxurious serum like caramel color earthy scent enjoyed love lightweight quickly absorbed,5,positive,45,0.46785714285714286,2
bought target wrinkle appearing curse late make difference fading admittedly get botox using retinol every night faded faster botox worked addition made skin clearest ever not sure retinol havent much blackhead month since made daily part skincare absolute must hydrate hydrate much dry skin like crazy dont hydrate alongside,5,positive,106,-0.09817708333333333,2
not think one product would make difference skincare routine using polyglutamic acid serum two week daily noticed big difference appearance skin texture cheek decreased skin feel smoother overall also not experience adverse reaction definitely continue use repurchase,5,positive,77,-0.06666666666666667,2
sensitive dry skin year acne treatment accutane sun damage essentially transparant skincliniques acne solution line better medication prescription ive ever toner clinique call lotion perfection use twice day not remove whatever makeup cleanser missed clean pore treat acne,5,positive,76,0.10666666666666666,2
ive using week skin noticeably cleared ive gotten several compliment not mention washing face stuff feel like dream,5,positive,34,0.0,2
product along omega water cream magical dermatologist told use moisturizer night put water cream skin never better love moisturizer definitely tell difference,5,positive,42,0.4375,2
good product irritated eye lot didnt seem take make,4,positive,21,0.9099999999999999,2
dropper kept product protected bacteria also ended leaving lot product behind couldnt get got certain level serum didnt irritate skin also didnt notice making much improvement redness wouldnt buy,3,neutral,60,0.12857142857142856,1
like cream lot nice thick smell amazing jar superluxe heavy buy sure love lancme skincare product,4,positive,30,0.32916666666666666,2
ive using week cant speak longterm result love product far acne prone doesnt break also acne regimen right extremely drying oil helped keep skin healthy balanced fine line plumped skin glowing even also love ingredient super super clean hard find love product,5,positive,87,0.23886054421768713,2
great toner tightens plus harsh ingredient making even better,5,positive,12,0.5750000000000001,2
great moisturizer passed thin layer enough wake morning pretty hydrated skin love passing skin not sticky could feel wearing something not bother,5,positive,47,0.22999999999999998,2
best treatment winter love texture feel skin,5,positive,17,0.75,2
amazing skin feel smooth hydrated one use definitely feel hydrating wake morning skin still feel unbelievably soft,5,positive,35,0.35000000000000003,2
used cheaper product work way better smell like orange,3,neutral,11,0.5,1
saved skin concern acne redness use dry skin little concerned make skin even dryer review ive seen thats not case long use good moisturizer week already saw difference buy,5,positive,66,0.09895833333333333,2
mineral sunscreen known thicker texture make difficult apply appreciate sunscreen super easy spread across face leaving minimal white cast however downside really greasy find dust particle hair sticking face,3,neutral,58,0.12380952380952381,1
old crow foot dark circle eye feel like product helped crow foot not much dark circle eye didnt really notice difference around lid brow bone either product feel nice absorbs well dont know would purchase,3,neutral,65,0.13333333333333333,1
upset didnt like love almost product pilled skin couldnt apply product top without wiping away maybe work better dont wear makeup,1,negative,47,0.125,0
love dark circle typically use night take bit dry feel great skin moisturizing,5,positive,29,0.18611111111111112,2
loving serum yttp minute put feel face get little boost love isnt sticky smell fresh absorbs super fast put moisturizer personal choice superfood air whip top right away always nice product packed much good face love,5,positive,71,0.3599702380952381,2
happy product ive used many others leave face really greasy ruin makeup doesnt thing cant think better way reapply spf day work fine setting spray makeup must people said sting havent problem definitely worth try youre fence sephora please keep stock amazing returned buy another bottle stock,5,positive,104,0.5657738095238095,2
ive always dark circle eye getting pesky wrinkle grrr well product definitely helped short amount time ive used scent light pleasant texture not thick absorbs nicely little bit long way curious see long run definitely continue using,5,positive,77,0.014102564102564096,2
product definitely leaf face soft smooth complexion,4,positive,12,0.19999999999999998,2
received product review influenster refreshing used dont feel like made skin feel differenti not use daily routine least time per week didnt notice stickiness others mentioned,3,neutral,51,0.06666666666666667,1
year ive come accept nothing cover eye redness vein tried whim really worked use every time,5,positive,33,0.2,2
liked kiehls serum light weight gel product seems far dried pretty quickly didnt feel sticky feel like made face look fresher next morning would use gentle easy use,4,positive,50,0.24185185185185187,2
really like packaging bottle heavy seemed really expensive expensive product said ingredient arent ideal got score yuka app best alcohol phenoxyethanol isnt good honest review get retinol night oil cheaper better ingredient,2,negative,70,0.30000000000000004,0
product alone changed skin use morning night wash used get much oil face could fry egg forehead,5,positive,41,-0.056249999999999994,2
beautiful serum leaf skin feeling moisturized ready day ready night cannot speak long term effect yet feel nice given product free influenster exchange review,5,positive,50,0.43928571428571433,2
neverending search holy grail eye cream tried tartes not holy grail nice eye cream nice smoothly absorbs well moisturizes nicely see huge improvement fine line dryness havent seen eye cream either good basic day day cream,4,positive,68,0.41907407407407404,2
moisturizing,5,positive,2,0.390625,2
cream really nice skin got used first try made face red irritated kept trying like love cream contains niacinamide one favorite ingredient applies well absorbs quickly without leaving greasy feeling,4,positive,60,0.19791666666666663,2
great hydrating leaf skin looking fabulous use night time week josie night cream well day argan oil skin never looked better rarely wear face makeup,5,positive,45,0.36000000000000004,2
eye serum gifted dermalogica sephora exchange honest review brighten hydrate firm delicate eye area dermalogicas antioxidantrich bioluminc vitamin eye serumkey ingredient vitamin complex chia seed oil tremella mushroom extract papainclinical resultsthree time brightening power leading competitorbrighter skin applicationvisibly brighter skin around eye upon first useincreased firmness around eye area week usevegan clean ingredient cruelty free sustainable packaging brand eye serum literally lightened dark circle easily absorbed reduces puffiness eye application skin becomes tight smoothi also love used eye cream,5,positive,118,0.17312271062271065,2
first time using type product suppose make pore appear smaller gentle exfoliater looking since not often daily routine feel like skrinken pore ill continue use see result week far like,5,positive,72,0.17916666666666667,2
like ginzing vitamin eye cream come warm shade feel light soothing eye helped puffiness morning,3,neutral,31,0.5,1
ive using week say look glowy dont think ive seen difference pore yet seen difference maskne face looking little better new breakout far,5,positive,51,0.16886363636363638,2
continually reorder face cream doesnt pill makeup leaf skin feeling fantastic weird smell basically perfect moisturizer,5,positive,26,0.5499999999999999,2
shiseido never seem disappoint feel amazing skin keep moisturized protected layer spf foundation extra care,5,positive,31,0.30000000000000004,2
product thing worked acne prone skin tried everything dermatologist prescribed cream expensive skincare line treatment lightweight leaf skin moisturized without irritation,5,positive,35,-0.25,2
ive using product week hate loved pricey fantastic drastically helped hyperpigmentation struggled long dont know make spot completely disappear already satisfied result skin feel hydrated fine line seem softer gave star dont like dispensing mechanism different liquid come pump mix applying wouldnt bother except fact liquid arent always evenly distributed store container upside help issue though received product complimentary influenster,4,positive,125,0.1411111111111111,2
absolutely love every morning make skin look healthy glowy,5,positive,17,0.8125,2
love product oily skin absorbs well not leave greasy love scent packaging,5,positive,27,0.5,2
almost second pot eye cream permanent fixture tried countless eye product year first one attack concern eye area become significantly firm since starting use love protects blue light environmental stressor one biggest fear aging eye key reason love recommended friend really best,5,positive,99,0.2160714285714286,2
product feel nice make skin look good scent almost strong,3,neutral,18,0.5777777777777777,1
deducting one star havent using long dont know well treating old acne scar yet however ive already noticed huge difference skin texture context ive using product week,4,positive,50,0.16875000000000004,2
best eye cream ever used dark circle almost gone eye area look bright,5,positive,22,0.5750000000000001,2
love stuff never write review love stuff much life ive oily skin never used moisturizers skin would get greasy fast looked moisturizers good oily skin one option went closest sephora tried well others one winner others sticky knew wouldnt good oily skin murad one smooth not sticky shiny instantly loved itif oily skin moisturizer,5,positive,120,0.406875,2
reason giving star packaging wish would create another option packaging open tube lot product wasted spill pressure added product want love much packaging waste product much may transfer different container prevent much waste,3,neutral,80,0.03333333333333333,1
honestly love moisturizer love sent smell clean refreshing ive using week two already see difference skin pretty dry skin really help make skin feel look better,5,positive,55,0.37890625,2
really enjoyed consistency product gelserum like texture easy blend also product lay well makeup make milium worse though downside product complimentary dermalogica,4,positive,47,0.24083333333333334,2
gifted benefit cosmetic ive always loved porefessional line made sense pick next launch pore mask one seems little intense least know working,5,positive,37,0.11964285714285713,2
